Item type|ENTRYTYPE|ID|Authors|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|80|Boyar LB,Davis-Friday P|Assessing a golden opportunity: CEO performance at McDonald’s|CASE Journal|Q4|3|2019|15|5|397-415|Emerald Group Holdings Ltd.||2019|||1544-9106|http://dx.doi.org/10.1108/TCJ-12-2017-0118|10.1108/TCJ-12-2017-0118|Theoretical basis: Financial accounting to assess stewardship: the case requires students to evaluate Thompson’s stewardship of McDonald’s, in part based on the company’s financial accounting information. Financial reporting performs an important societal role by helping control agency problems that arise from the separation of ownership and management. Since external stakeholders cannot “observe directly the extent and quality of managerial effort on their behalf […] the manager may be tempted to shirk […] blaming any deterioration of firm performance on factors beyond his/her control” (Scott, 2014, p. 23). However, although financial reporting helps hold managers accountable to shareholders, accounting information is not fully informative about managerial effort. For example, while net income provides useful information regarding the CEO’s stewardship, it is also “noisy,” due to recognition lags and other factors (Scott, 2014, p. 364). Efforts undertaken by Thompson in a particular period, such as marketing expenditures, might reduce current earnings, yet boost future profitability. Additionally, Thompson’s predecessor’s past efforts might have positive or negative effects on current earnings. Evaluating stewardship effectively involves considerable judgment, in addition to knowledge of financial accounting. The implication of poor firm performance is that the CEO is ineffective at formulating and implementing strategies and policies to enhance firm value (Dikolli et al., 2014). Specifically, it appears that missing earnings benchmarks matter more for relatively inexperienced CEOs. Don Thompson’s tenure of 33 months at McDonalds is 42 percent lower than median CEO tenure documented in academic research, where the median tenure of chief executives documented in large sample empirical studies is about 57 months (Dikolli et al., 2014). The evidence suggests that the longer a CEO serves, the less likely he is to be dismissed for performance-related reasons. This appears to be the result of the resolution of uncertainty about CEO’s ability and leads to subsequent declines in the level of monitoring by the Board of Directors. Performance evaluation and bias: a significant body of research explores the extent to which female managers are assessed differently than their male counterparts (Powell and Butterfield, 2002). For example, female CEOs face more threats from activist investors than male CEOs. Therefore, even after women achieve the highest managerial rank, they experience more professional challenges than their male counterparts (Gupta et al., 2018). However, the question of whether black CEOs are assessed differently is more challenging to answer empirically as a result of a smaller sample size (only one percent of S&P 500 companies are run by black CEOs). Our case attempts to develop the inference that if female CEOs are subject to bias, analogous forces are likely at work when black CEOs are assessed. Recent evidence further suggests that business students sometimes demonstrate bias in making assessments (Mengel et al., 2018). The authors discuss these findings – as well as strategies for including them in the case discussion – in the “Teaching Strategy” section herein below. Research methodology: The case was written from the public record surrounding the appointment of Don Thompson and McDonald’s company filings. The record includes articles from The New York Times and The Wall Street Journal, as well as local and industry publications. Case overview/synopsis: The case examines the role of financial accounting in evaluating CEO performance in the context of the appointment of McDonald’s first African-American chief executive and his subsequent two-and-a-half years on the job. The case deepens students’ understanding of the link between financial reporting and stewardship, while highlighting the subjectivity inherent in assessing managerial performance, particularly over relatively short time periods. As students analyze the case, they must consider the extent to which a firm’s results are attributable to luck vs skill. We use “skill” to refer to CEO effort and other controllable factors, while “luck” refers to exogenous factors, such as macroeconomic conditions. Assessing stewardship is of practical significance. It allows pay to be better aligned with performance and empowers stakeholders to identify when a change of leadership may be warranted. The case may also be used to spur reflection, in an applied context, on the importance of being alert to unconscious bias, even when evaluating seemingly objective financial reporting data. Recent research, discussed herein, suggests that business students sometimes exhibit bias when making assessments. Complexity academic level: The case should be included in discussions of corporate governance, executive compensation and the role of accounting information in efficient contracting. It is appropriate in intermediate financial accounting courses for undergraduates, introductory graduate accounting courses, or other courses with an element of financial statement analysis. Standard introductory accounting textbooks offer helpful supplementary reading for students. Horngren et al.’s (2014) book, Introduction to Financial Accounting (12th ed.), Pearson, London, provides an overview of the income statement and its role in assessing performance (see Chapter 2) as well as a useful discussion on evaluating the components and trends of a business (see Chapter 12). More advanced students may benefit from the in- depth discussion of earnings quality, operating income and non-operating income found in Chapter 4 of Intermediate Accounting (9th ed.), McGraw Hill Education, New York by Spiceland et al. (2018). © 2019, Emerald Publishing Limited.||cited By 1|Department of Business and Technology, LaGuardia Community College, Long Island City, NY, United States; Zicklin School of Business, Baruch College, New York, NY, United States|English|
Book|article|81|De Oliveira FL,Ramos L|In-house counsels in Brazil: Careers, professional profiles, and new roles||#N/A|#N/A|2018||||Cambridge University Press||2018|9,78132E+12|9,78111E+12||http://dx.doi.org/10.1017/9781316871959.004|10.1017/9781316871959.004|INTRODUCTION The title “in-house counsel movement” has been used since the end of the 1980s to describe what began as an American phenomenon entailing the numeric growth, increased prestige, and growing professional value afforded to lawyers working within company legal departments on the company’s legal matters (Rosen 1989; Wilkins 2012). Rosen focuses on how corporate lawyers went from being “kept” counsel in the 1920s, to “tame lawyers” in the 1950s, to “in-house counsel” in the 1980s. Nor was Rosen alone in marking this transition. Beginning in the mid-1980s, scholars studying the legal profession began to note that inside legal departments, and the legal executives leading them, were increasingly valued within their companies and the legal profession as a whole. Chayes and Chayes write: Not only have [in-house counsel] offices grown in size, but in importance as well. The general counsel sits close to the top of the corporate hierarchy as a member of senior management. There is a comparable increase in the importance and complexity of matters dealt with internally. (Chayes and Chayes 1985, 277) Indeed, Chayes and Chayes found that legal directors in large US corporations were gaining relevance within internal corporate hierarchies as they began taking part in the strategic decision-making process of the company. Many were being integrated into higher levels in the corporate hierarchy as members of management, with some even being included on the company’s board of directors (Coates et al. 2011). Early studies of the changing role of in-house counsel also showed that there was a trend to begin carrying out new types of legal services and implementing new methods when managing conflict. For instance, legal departments began performing new activities, such as preventive legal consulting by foreseeing potential conflicts by implementing long- term planning and establishing managing plans for litigation as well as managing legal services by outsourced law firms (Chayes and Chayes 1985, 200). In the almost three decades since this initial work, David B. Wilkins has argued that this the trend of enhancing the value of in-house counsels in the United States and around the world is not over (Wilkins 2012). More specifically, he argues that the prestige of in-house counsel and, in particularly GCs, continues to rise. He notes, that in-house counsel increasingly interact with top company executives, including the board, when advising and solving legal needs in their companies. © Cambridge University Press 2018.||cited By 1|Universidade Federal de São Carlos, Brazil; Escola de Direito de São Paulo da Fundação Getúlio Vargas, São Paulo, Brazil|English|74-109
Journal Article|article|82|Ginevri AS|Staggered boards, banks and public companies: Quo vadis?|European Business Law Review|Q2|6|2017|28|4|575-591|Wolters Kluwer (UK) Ltd.||2017|||0959-6941|||"This Article provides a legal overview and analysis of the benefits associated with the adoption of a staggered board of directors by Italian banks and public companies. While there is a widespread opposition to staggered boards among U.S. scholars and investors - being such device a powerful antitakeover measure in the American legal system since directors belonging to a U.S. staggered board may be removed only ""for cause"" - this Article explains the reasons why staggered boards should be implemented by Italian banks and public companies considering the significant distinctions between the U.S. and the European legal frameworks in this area. Taking into account the new banking governance principles recently introduced by CRD IV and by its implementing measures, this Article explains how the establishment of staggered boards by Italian credit institutions and listed companies may allow them (i) to exclude the risk of potential discontinuities in the management's action, which are inappropriate in corporations of such complexity and systemic relevance, (ii) to facilitate the initial induction and training of the newly appointed directors and officers, who would benefit from the expertise of other members of the board with longer experience, (iii) to strengthen and foster the institutional dialogue between the board and the shareholders, aimed at achieving an adequate collective knowledge, skills and experience of the management body, and finally (iv) to attract more capital from professional investors, granting them the possibility to appoint their representatives in the board on an annual basis."||cited By 1|LINK Campus University of Rome, Italy|English|
Journal Article|article|83|Oppenheimer PH|Legal and accounting issues of manipulating the timing of stock option grants|Journal of Financial Crime|Q2|29|2011|18|1|63-75|||2011|||1359-0790|http://dx.doi.org/10.1108/13590791111098807|10.1108/13590791111098807|Purpose Many corporate managers, with the aid of the board of directors, discovered that they could provide themselves with guaranteed or excessive compensation by manipulating the terms of stock option grants that were included in their compensation packages. This paper seeks to examine the legal, tax, and accounting issues that have evolved because of these suspect illegal activities. Design/methodology/approach The author presents the theory behind performance-based compensation that is the basis for employee stock option grants. The author then examines regulations, judicial theory, and court cases to determine the current legal status of backdating, spring loading, or bullet dodging of executive stock option grants. Findings The current legal environment has made it difficult for executives to continue the practice of manipulating stock option grants without falling under the ire of regulators and shareholders. However, a question remains whether executives that manipulated stock option grants in the past will be found criminally liable for their acts. Practical implications The paper's review of the discourse on the legality of corporate executives enhancing their compensation packages shows the complexity of detecting and regulating this type of suspect activity. Originality/value This paper presents a contemporaneous discussion and data on legal and regulatory changes that resulted from management malfeasance of executive compensation. © Copyright - 2011 Emerald Group Publishing Limited. All rights reserved.||cited By 1|Mike Cottrell School of Business, North Georgia College, State University, Dahlonega, GA, United States|English|
Journal Article|article|84|Guerra S,Fischmann A,Machado Filho CA|An agenda for board research|Corporate Ownership and Control|Not yet assigned quartile|24|2009|6|3 B CONT. 1|196-202|Virtus Interpress||2009|||1727-9232|||Scholarly investigations on the board of directors, although intense from the mid-1990s onward, did not lead to entirely convincing results. This study proposes discussion on building a multidisciplinary and integrated theoretical framework able to capture the complexity and distinctive dimensions of the board as a group decision-making process. This is achieved through an essay developed from analytical and descriptive review of the literature. A synthesis on board research is presented, aiming to understand theoretical models lenses used to study corporate governance issues. The strengths and weaknesses of these models are pointed out, and their influence on board investigation is observed. This essay concludes by proposing a research agenda that considers the addition of psychological and sociological approaches to economic models of the analysis of group decision-making.||cited By 1|University of São Paulo, School of Economics, Business Administration and Accountancy, Brazil; Department of Business Administration, University of São Paulo, School of Economics, Business Administration and Accountancy (FEA/USP), Brazil|English|
Journal Article|article|85|Higgins JC|Decision-Making at Board Level Using Decision Analysis: Two Case Studies|Journal of the Operational Research Society|Q1|120|1982|33|4|319-326|||1982|||0160-5682|http://dx.doi.org/10.1057/jors.1982.73|10.1057/jors.1982.73|Two cases are described: the first in a newspaper publishing company concerned a strategic pricing decision; the second involved a property litigation problem in a food retailing company. Neither of the decision analysis models presented to the respective Boards of Directors was at all complex mathematically but they were highly influential on the decision-making processes. Indeed both were critical to the decisions made at those times. Some possible lessons are drawn from the cases with respect to these types of decision-making process, the type and complexity of model appropriate and information problems. © 1982 Operational Research Society Ltd.|OPERATIONS RESEARCH, DECISION THEORY AND ANALYSIS|cited By 1|University of Bradford Management Centre, United Kingdom|English|
Journal Article|article|86|Renz DO,Brown WA,Andersson FO|The Evolution of Nonprofit Governance Research: Reflections, Insights, and Next Steps|Nonprofit and Voluntary Sector Quarterly|Q1|96|2023|52|1_suppl|241S-277S|SAGE Publications Inc.||2023|||0899-7640|http://dx.doi.org/10.1177/08997640221111011|10.1177/08997640221111011|The literature on nonprofit governance and boards has grown substantially during the past 50 years as researchers from a variety of disciplines and fields have studied governance systems and processes to examine how they are organized, the practices they employ, and their relations with and impacts on nonprofits. This essay offers a domain-based narrative review of the research on the governance of nonprofit organizations and how it has developed over these 50 years. Building on literature reviews and a Delphi study, we summarize the progression of nonprofit governance research, employ a multi- dimensional framework to summarize and assess the state of the field, and offer recommendations for future study. We find the increasingly multinational and multicultural literature of the field has become more rich, nuanced, and increasingly inclusive of contingency, complexity, paradox, and the diverse theoretical perspectives that will enhance our understanding of nonprofit governance. © The Author(s) 2022.||cited By 0|University of Missouri–Kansas City, United States; Texas A&M University, College Station, United States; Indiana University–Purdue University Indianapolis, United States|English|
Journal Article|article|87|Alajmi A,Worthington AC|Corporate governance in Kuwait: joining the dots between regulatory reform, organisational change in boards and audit committees and firm market and accounting performance|Journal of Financial Reporting and Accounting|Q2|16|2023||||Emerald Publishing||2023|||1985-2517|http://dx.doi.org/10.1108/JFRA-04-2022-0133|10.1108/JFRA-04-2022-0133|Purpose: This study aims to examine the link between boards and audit committees and firm performance in Kuwaiti listed firms in the context of recent and extensive corporate governance regulatory reform. Design/methodology/approach: Panel data regression analysis with fixed effects and clustered standard errors of firm performance for 61–97 listed industrial and services firms in Kuwait over a seven-year period. The dependent variables are the returns on assets and equity, the debt-to-equity ratio and leverage and Tobin’s Q and the independent variables comprise board of directors and audit committee characteristics, including size, the number of meetings and the numbers of independent and outside board and expert committee members. Firm size, subsidiary status and cash flow serve as control variables. Findings: Mixed results with respect to the characteristics of the board of directors. Board size and independent and outsider board members positively relate only to Tobin’s Q and insiders only to debt to equity. For audit committee characteristics, committee size, independence and expertise positively relate to the return on equity and committee size and expertise only to Tobin’s Q. Of the five performance measures considered, board and audit committee characteristics together best determine Tobin’s Q. Research limitations/implications: Data from a single country limits generalisability and control variables necessarily limited in a developing market context. Need for qualitative insights into corporate governance reform as a complement to conventional quantitative analysis. In combining accounting and market information, Tobin’s Q appears best able to recognise the performance benefits of good corporate governance in terms of internal organisational change. Practical implications: The recent corporate governance code and guidelines reforms exert a mixed impact on firm performance, with audit committees, not boards, of most influence. But recent reforms implied most change to boards of directors. One suggestion is that non- market reform may have been unneeded given existing market pressure on listed firms and firms anticipating regulatory change. Social implications: Kuwait’s corporate governance reforms codified corporate governance practices already in place among many of its firms in pursuit of organisational legitimacy, and while invoking substantial change to audit committees, involved minor change to firm performance, at least in the short term. Some firms may also have delisted in expectation of stronger corporate governance requirements. Regardless, these direct and indirect processes both improved the overall quality of listed firm corporate governance and performance in Kuwait. Originality/value: Seminal analysis of corporate governance reforms in Kuwait, which have rapidly progressed from no corporate governance code and guidelines to an initially voluntary and then compulsory regime. Only known analysis to incorporate both board of directors and audit committee characteristics. Reveals studies of the corporate governance–firm performance relationship may face difficulty in model specification, and empirical significance, given the complexity of corporate governance codes and guidelines, leads in changing firm behaviour and self-selection of firms into and out of regulated markets. © 2023, Emerald Publishing Limited.||cited By 0|Department of Accounting, Finance and Economics, Public Authority for Applied Education and Training, Kuwait City, Kuwait; Griffith University, Brisbane, Australia|English|
Journal Article|article|88|Jouber H|Environmental sustainability performance and shareholder value: an international fuzzy-set qualitative comparative analysis|EuroMed Journal of Business|Q1|31|2023||||Emerald Publishing||2023|||1450-2194|http://dx.doi.org/10.1108/EMJB-09-2022-0161|10.1108/EMJB-09-2022-0161|Purpose: Considering corporate governance (CG hereinafter) practices' variety across Anglo- American and European countries, this study relies on contingency and complexity theories to investigate the effect of environmental sustainability performance (ESP hereinafter) on shareholder value under various configurations of board of directors (BoD hereinafter), firm and country characteristics. Design/methodology/approach: The author used the Thomson Reuters Environment Pillar Score (ASSET4) and the Total Shareholder Return to assess ESP and shareholder value respectively. The author applied a fuzzy-set qualitative comparative analysis (fsQCA hereinafter) to an unbalanced panel of 2,284 observations from 486 European and Anglo-American non-financial listed firms over the period 2016–2020. Findings: The author found a positive association between ESP and shareholder value and he displayed notable differences between Anglo-American and European economies regarding causal predictors of this positive association. Within European firms operating under civil law code where investor protection is low and family ownership is widespread, ESP creates shareholder value under configurations of causal predictors that significantly differ from those of their Anglo- American peers. The author's findings are robust to different identification strategies. Practical implications: This study assists researchers, practitioners, shareholders and policymakers the significant roles that BoD diversity, organisational and institutional traits are jointly playing as determinants of the ESP-shareholder value relationship. Originality/value: The author's study offers a more encompassing, complete and theoretically richer picture of the key drivers and outcomes of ESP. © 2023, Emerald Publishing Limited.||cited By 0|Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia; LARTIGE, Sfax University, Sfax, Tunisia|English|
Book|article|89|Brown M|Strategic airport planning||#N/A|#N/A|2022||||Taylor and Francis Inc.||2022|9,781E+12|9,78103E+12||http://dx.doi.org/10.4324/9781003173267|10.4324/9781003173267|This book will explore a new approach to airport planning that better captures the complexities and velocity of change in our contemporary world. As a result, it will lead to higher performing airports for users, business partners, investors and other stakeholders. This is especially pertinent since airports will need to come back better from the Covid-19 pandemic. The book explains the importance of articulating a clear strategy, based on a rigorous analysis of the competitive landscape while avoiding the pitfalls of ambiguity and 'virtue signalling'. Having done so, demand forecasts can be developed that resemble S-curves, not simple straight lines, that reflect strategic opportunities and threats from which a master plan can be developed to allocate land and capital in a way that maximizes return on assets and social licence. The second distinctive feature of this book is the premise that planning an airport as an island, a fortress even, does not work anymore given how interconnected airports are with other components of the transportation system, the economies and communities they serve and the rapid pace of social and technological change. In summary, the book argues that airport planning needs to move beyond its traditional boundaries. The book is replete with real examples from airports of all sizes around the world and includes practical advice and tools for executives and managers. It is recommended reading for individuals working in the airport business or the broader air transport industry, members of airports' board of directors, who may be new to the business, elected officials, policy makers and urban planners in jurisdictions hosting or adjacent to airports, regulators, economic development professionals and, finally, students. © 2022 Mike Brown. All rights reserved.||cited By 0|Transport Strategy Centre, Imperial College, London, United Kingdom|English|1-166
Journal Article|article|90|da Silveira GA,Klein V|THE SEVERANCE PAY IN BRAZIL: AN ANALYSIS OF THE HRT CASE [O severance pay no Brasil: uma análise do Caso HRT]|Revista Direito GV|Q2|4|2022|18|3||Fundacao Getulio Vargas, Escola de Direito de Sao Paulo||2022|||2317-6172|http://dx.doi.org/10.1590/2317-6172202236|10.1590/2317-6172202236|Severance packages are granted to senior executives to mitigate management problems, such as risk aversion. When the incentive plan stipulates the acquisition of control as a hypothesis for triggering the indemnity, the benefit takes the form of a golden parachute and works as a defensive measure against hostile acquisitions by increasing the cost of the operation for the acquirer. It is understood that the evaluation of the board of directors performance in the executive pay approval must be based on the convenience of the instrument for social interest, which requires an institutional analysis. Both the ownership structure and the market for corporate control are relevant elements to determine if the incentive seeks to fulfill the purpose for which it is being planned, especially when the threat of hostile acquisitions is used as a justification for implementation. Therefore, based on the HRT Case, the severance pay is analyzed in observance of the Brazilian capital market characteristics. Although it does not represent all the complexity of the issue, the case chosen is a portrait of a specific reality and offers important thoughts for an efficient regulation of executive pay in Brazil. This work intends to demonstrate that Comissão de Valores Mobiliários [CVM] took into account purely theoretical benefits of the severance pay and did not incorporate the brazilian stock market specificities in the analysis, a decision that brought losses to HRT Participações em Petróleo S/A shareholders. © 2022 Fundacao Getulio Vargas, Escola de Direito de Sao Paulo. All rights reserved.||cited By 0|Universidade Federal do Paraná, Paraná, Curitiba, Brazil; Procuradoria-Geral do Estado do Paraná, Paraná, Curitiba, Brazil|Portuguese|
Journal Article|article|91|Sun F,Wei X|Pension discount rate, executive stock-based compensation and investor sentiment|Managerial Finance|Q3|45|2022||||Emerald Publishing||2022|||0307-4358|http://dx.doi.org/10.1108/MF-01-2022-0023|10.1108/MF-01-2022-0023|Purpose: In this paper, the impact of stock-based compensation and further the joint effects of stock- based compensation and investor sentiment on pension discount rate choice is examined. Design/methodology/approach: The hypotheses is tested using fixed effects models and instrumental variable analysis where pension discount rate is the dependent variable, and stock-based compensation and investor sentiment are our variables of interest. Findings: It was found that pension discount rate is negatively associated with managers' stock-based compensation. Further analysis indicates that managers with larger stock-based compensation tend to adjust down their pension discount rates in higher (smaller) degree, responding to high (low) investor sentiment. Practical implications: The findings provide important insights into how managers use pension discount rates to engage in earnings management. Understanding these relationships has implications for interpreting pension numbers reported in the financial statements and designing pension accounting rules that minimize the possibility that managers take advantage of the complexity associated with pension accounting to influence the reported earnings and executive compensation. Moreover, the findings suggest the need for increased attention from boards of directors, auditors and regulators to reported pension liabilities and service costs, especially for firms paying higher proportion of stock-based compensation to managers and during periods of high investor sentiment. Originality/value: The findings contribute to the extant literature by identifying the joint impacts of stock-based compensation and investor sentiment as incentives for pension discount rate manipulation. The empirical results of this study also have important implications for corporate governance and regulation. © 2022, Emerald Publishing Limited.||cited By 0|Department of Accounting and Information Systems, Queens College, CUNY, New York, NY, United States; Dahlkemper School of Business, Gannon University, Erie, PA, United States|English|
Journal Article|article|92|Ndaba Z,Mitchell C,Ngxola N|Nonkululeko Gobodo: a challenger challenged|Emerald Emerging Markets Case Studies|Q4|7|2022|12|3|1-23|Emerald Group Holdings Ltd.||2022|||2045-0621|http://dx.doi.org/10.1108/EEMCS-09-2021-0303|10.1108/EEMCS-09-2021-0303|Learning outcomes: This case study aims to ensure that, students should be able to recognise the behaviours that influence the in-member out-member categorisation that transpires in the workplace, both from the leader’s perspective and that of the followers; determine and understand the relevance of forming interpersonal relationships in the workplace and that interpersonal relationships create fundamentally positive or negative work experiences and impact on career opportunities in the workplace; gain an understanding of the internal bias and subjective comfort that leaders must actively overcome to establish an environment in which the entire team becomes in-group members; and be able to assess the contextual variables that contribute to the negative or positive aggravation of the leader–member exchange. Case overview/synopsis: It was 16 October 2014, and Nonkululeko Gobodo, Executive Chair of accounting firm SizweNtsalubaGobodo, was looking to her younger sister, Notemba Dlova, for emotional support, as she sought to address an important issue that was on the agenda of the firm’s board of directors’ meeting the following day. Tensions between her and Victor Sekese, Chief Executive Officer of the firm, were mounting, and a number of the directors were unhappy with the status quo. “How do you think I should address the issue?” she asked Dlova. Both sisters knew that at stake was Gobodo’s future at the firm she had battled so hard to build up in the face of racial and gender stereotypes. Complexity academic level: The case study is appropriate for use in a range of postgraduate courses aimed at Master’s in Management and Master of Business Administration (MBA)-level students. It is also suitable for use in postgraduate diplomas in business and executive education short courses. Supplementary materials: Teaching notes are available for educators only. Subject code: CSS 6: Human Resource Management. © 2022, Emerald Publishing Limited.||cited By 0|Wits Business School, Wits University, Johannesburg, South Africa|English|
Journal Article|article|93|De Feis GL,Grunewald D|Integrated case for COVID-19: hospitality management, finance, marketing, strategy, and sustainability – “Good ‘Ol Camp Teddy amidst the COVID pandemic”|CASE Journal|Q4|3|2022|ahead-of-print|ahead-of-print||Emerald Group Holdings Ltd.||2022|||1544-9106|http://dx.doi.org/10.1108/TCJ-06-2021-0079|10.1108/TCJ-06-2021-0079|Theoretical basis: Later in the discussion, the options for long run strategy in dealing with a possible takeover offer and other strategic options can be discussed by the class. Lack of familiarity by students with the role of the outside potential acquirer of the camp (in this case, a hotel chain) and the lack of familiarity with the role of an investor who is a family investor, who may wish to sell stock and use the proceeds for another purpose, or a small investor who invests because he or she uses the camp and takes advantage of the stockholder’s discount will probably preclude role playing, except in executive MBA classes where students have sufficient experience in possible takeover situations or in investment management, Emphasis should probably be placed on discussing the major issues, such as social and cultural issues and on marketing and public relations issues and on financial issues, including the options available in the event of a possible takeover effort. All of these issues are impacted fully by the COVID-19 pandemic. Research methodology: Instructors will need to play an active role in teaching this case. It is recommended that the instructor give a short lecture or discussion at the beginning as to how a camp such as Camp Teddy functions. The authors recommend that the instructor then begin the case discussion by asking students questions about such issues as social and cultural issues and marketing and public relations issues. Case overview/synopsis: Camp Teddy is a seasonal camp for families in rural Connecticut adjacent to New York City and suburbs in New York and Connecticut. It is technically a for- profit organization but operates more like a nonprofit organization because many of the campers own shares and have used the camp sometimes for several generations. The camp has traditions that are liked by many of the shareholders and campers. Although net income has increased in the past year, there does not seem to be enough funds to support necessary capital expenditures to improve facilities for the future. The largest stockholder has recently died. His immediate heirs’ control 300 of the 1,000 shares and other family members control 400 shares with the remaining 300 shares in the hands of small shareholders, many of whom use the camp each summer. A large hotel chain is interested in possibly acquiring the camp through a buyout or perhaps a hostile takeover, with a potential large gain to shareholders. The board of directors must consider a number of issues to insure good occupancy of the camp in the future and must decide what to do about a potential takeover attempt. Complexity academic level: This case can be used in several courses, including investment management, hospitality management, corporate finance and business strategy. There are ethical and societal issues in the case, so that the case might also be used in courses looking at business, environment or business ethics. The case is best used at the graduate level, but it might be suitable for some advanced undergraduate courses. © 2022, Emerald Publishing Limited.||cited By 0|School of Business, Stockton University, Galloway, NJ, United States; Connecticut and Cape CodMA, United States|English|
Journal Article|article|94|Upadhyay A,Triana MD|Drivers of diversity on boards: The impact of the Sarbanes-Oxley act|Human Resource Management|Q1|108|2021|60|4|517-534|John Wiley and Sons Inc||2021|||0090-4848|http://dx.doi.org/10.1002/hrm.22035|10.1002/hrm.22035|This study investigates how firm structure, chief executive officer (CEO) power, and federal legislation influence hiring of corporate directors from a diverse background. Combining the value-in- diversity hypothesis and the similarity-attraction paradigm, we examine the impact of economically rational (i.e., business need) and social preference (i.e., similar-to-me bias) drivers of board diversity post-the Sarbanes-Oxley Act of 2002 (SOX). Using a sample of S&P 1500 firms from an eight-year period spanning SOX, we find that SOX is positively correlated with board diversity. Although SOX was not intended to increase board diversity, the changes it put in place have subsequently facilitated more board diversity. Results show that the economically rational predictor (firm operational complexity) had a positive and statistically significant effect on board diversity pre-SOX but that effect disappeared post-SOX. Meanwhile, CEO power, a social preference inhibitor of board diversity, had a negative and statistically significant relationship with board diversity pre- SOX which also disappeared post-SOX. It appears that SOX has mitigated both economically rational drivers to want more diversity as well as social preference drivers to want less diversity. Implications of these findings for research and practice are discussed. © 2020 Wiley Periodicals LLC.||cited By 0|Department of Finance, Florida International University, Miami, FL, United States; Owen Graduate School of Management, Vanderbilt University, Nashville, TN, United States|English|
Journal Article|article|95|Ooi SC,Abdul Malak SS,Che Ahmad A|The manager’s conundrum in governing a farmers’ association|Emerald Emerging Markets Case Studies|Q4|7|2021|11|1|1-27|Emerald Group Holdings Ltd.||2021|||2045-0621|http://dx.doi.org/10.1108/EEMCS-03-2020-0080|10.1108/EEMCS-03-2020-0080|Learning outcomes: The main objectives of this case are to provide an opportunity for case users to understand the organisational governance framework in a farmers' association and how to build an effective organisational board. More specifically, the teaching objectives of this case are as follows: to provide an overview of the functions of different types of governance structures in a farmers' association. To understand the importance of good governance practices in a farmers' association and for its stakeholders. To relate democratic theory, stakeholder theory, agency theory and stewardship theory with the governance practices of a farmers' association. To critically evaluate the board governance in a farmers' association and recommend measures to enhance the practices. Case overview/synopsis: The teaching case presents the governance practices in a farmers' association in Malaysia, ZIX-PPK and the various governance challenges that emerged in the PPK subsequent to the appointment of politically affiliated directors. Prior to 2019, ZIX-PPK was an outstanding PPK under the helm of the General Manager, Khadijah. The PPK had continually been recognised as an exceptional and excellent PPK by the Farmers' Organisation Authority and the Muda Agricultural Development Authority. However, the Arahan Pendaftar Bil 1/2019 required changes to the governance structures of ZIX-PPK, with five new directors being appointed by the minister. The appointment threatened the independence and autonomy of ZIX-PPK and affected the dynamic of the board of directors. Khadijah had to search for measures that could improve the board governance in ZIX-PPK. The names, in this case, had been altered but the details were based on an actual event. The data were collected through interviews with key players and with reference to the minutes and other documentation of ZIX-PPK. Complexity academic level: The teaching case can be used by students in higher education institutions at both undergraduate and postgraduate levels. The case may also be relevant for training purposes to farmers' associations and any non-profit organisations. Subject code: CSS 1: Accounting and Finance. Supplementary materials: Teaching notes are available for educators only. © 2021, Emerald Publishing Limited.||cited By 0|TISSA-UUM, Universiti Utara Malaysia, Changlun, Malaysia; Tunku Puteri Intan Safinaz School of Accountancy (TISSA-UUM), UUM, Sintok, Malaysia|English|
