Item type|Authors|quartil|Editors|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN (alt.)|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|Indarti N,Wahjoedi,Sugeng B,Witjaksono M|Not yet assigned quartile||Small and medium business empowerment actors through capacity building at furniture industry in pasuruan city|International Journal of Civil Engineering and Technology|2018|9|7|789-799|IAEME Publication||2018|||0976-6308|||This research aim is exploring the empowerment of Furniture Industry in Pasuruan City in perspective of Capacity Building through the element of capital strengthening, human resources training, technology introduction and market access development. The population is all Furniture industries entrepreneur at Pasuruan-Indonesia. The samples are 7 informants. This research uses three techniques to collect data, namely: (1) in depth interview (in depth interview); (2) participant observation; and (3) study of documentation (study of documents). These are the three basic techniques in qualitative research agreed upon by most authors. The research result show the development of furniture industry in Pasuruan still faces various obstacles to affect the low competitiveness, namely the limited working capital, low human resources, and low mastery in science and technology. These need empowerment through capacity building that focuses on dimensions: (1) human resource development, (2) organization strengthening (capital), (3) introduction of technology and (4) development of market access. The effectiveness of Capacity Building Programme can be done through systems related to capital strengthening, human resources training, technology introduction and market access development through the Role of Intermediary Agencies. © IAEME Publication.||cited By 1|Postgraduate College Student State University of Malang, Indonesia; Economics Faculty, State University of Malang, Indonesia|English|
Conference Paper|Cardim S,Nunes A,Fernandes PO,Branco F|0||Implementation of balanced ScoreCard: Simplify strategic thinking development in Portuguese SMEs||2018|2018-September||177-182|Academic Conferences and Publishing International Limited||2018|9,78191E+12||2049-1050|||The Portuguese business structure is essentially composed of small and medium-sized enterprises (SMEs), which, despite their size, generate employment and contribute to the increase of national income. In many of these companies, some of them having less than ten employees, management and operational functions are often carried out by the entrepreneur. In addition, the entrepreneur does not always have technical knowledge in management, nor do they have the available time (since they have various responsibilities within the company) to develop and implement a management strategy that allows the enterprise to remain in the market while adopting a more conscious, consistent and sustained orientation. Within the scope of the Operational Program for Competitiveness and Internationalization - Portugal 2020, the Balanced ScoreCard (BSC) strategic management instrument was developed and implemented in several companies and sectors of the Portuguese economy. This instrument was crucial in initiating a process of strategic thinking which, quite possibly, would not have happened in such a short time horizon. This research work analyses through an essentially qualitative research the way the BSC instrument was developed and implemented. Another objective is to understand the main advantages of its use and its main application constraints. The data was gathered through a semi- structured interview developed for the owners of four Portuguese SMEs in the northern region Portugal, targeted under the abovementioned programme framework. The results demonstrate the instrument was essential for the development of a structured strategic thinking, as well as for a better performance and, consequently, to the improvement of the competitiveness of the targeted companies. The results also show the instrument had to be adapted and simplified and its implementation has to involve all the employees of the enterprises. © 2018 Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE. All rights reserved.|Competition; Strategic planning, Balanced scorecards; Competitiveness; Performance; Portugal; SMEs; Strategic thinking, Human resource management|cited By 1; Conference of 13th European Conference on Innovation and Entrepreneurship, ECIE 2018 ; Conference Date: 20 September 2018 Through 21 September 2018; Conference Code:140170|Institute Polytechnic of Bragança, Portugal; Applied Management Research Unit (UNIAG), Polytechnic Institute of Bragança, Portugal; University of Trás- os-Montes e Alto Douro, Vila Real, Portugal; INESC TEC, UTAD, Vila Real, Portugal|English|
Book|Gavinelli L|0||Business strategies and competitiveness in times of crisis: A survey on Italian SMEs||2016||||Palgrave Macmillan||2016|9,78114E+12|9,78114E+12||http://dx.doi.org/10.1057/978-1-137-57810-5|10.1057/978-1-137-57810-5|This book focuses on the relationship between business strategy and competition among Italian SMEs in the aftermath of the economic crisis. First examining business strategy and competitive advantage in a broader sense, Business Strategies and Competitiveness in Times of Crisis goes on to analyse the strategic behaviour of SMEs and the key factors that allow them to overcome the challenges they face. The book covers wide-ranging topics such as marketing and communication strategies, internationalization process and entry modes, access to credit, networking, innovation process and human resources enhancement. Referring to insightful case studies and surveys conducted between 2011 and 2014, it reflects on managerial implications for Italian SMEs and identifies their three main competitive challenges. © The Editor(s) (if applicable) and The Author(s) 2016.||cited By 1|Di.SEA.DE, Dipartimento di Scienze Economico- Aziendali e Diritto per l’Economia, Università degli Studi di Milano-Bicocca, Milan, Italy|English|1-290
Conference Paper|Tikakul CT,Thomson A|0|Galbraith B. Moffett S GB|Knowledge management practice: Case study of Thai SMEs in the manufacturing sector||2016|2016-January||1099-1108|Academic Conferences Limited||2016|9,78191E+12||2048-8963|||The founding of the AEC (Association of Southeast Asian Nations Economic Community) in late 2015 is contributing to further opportunities in the international market for ASEAN (Association of South Eastern Asian Nations) countries. However, this is also leading to greater competition through an increase in the number of businesses. In Thailand, part of the ASEAN Economic Community (AEC), SMEs (Small and Medium Enterprises) are significantly important to economic growth, employment rate, GDP and therefore their success has a critical impact on society. In this period of transition, Thai SMEs need the right supporting tools for their organisation to survive and grow. Globally, the adoption of Knowledge Management is becoming widespread with the potential to improve productivity and efficiency of various organisations. Successful Knowledge Management will benefit organisations through improving decision- making, quality of products/services whilst reducing the process lead-time and operational costs thus, contributing to market competitiveness. Despite, the large number of studies on Knowledge Management only few studies focus on SMEs. Furthermore, a systematic literature review conducted as part of this study highlights that whilst Knowledge Management research has been carried out in Thailand much of it is not accessible to non-Thai due to language. Therefore, the aim of this study is to identify the current practice of Knowledge Management in Thai SMEs within the manufacturing sector and to examine how employees in the organization capture, share and store their knowledge as well as their perceptions about Knowledge Management. Survey questionnaires were distributed to SMEs in Manufacturing Sector in Thailand via online survey software (Qualtrics) and paper based version depending on participants' preference. The total respondents are 311 within 20 manufacturing SMEs across several business sectors. The paper focuses on two research questions which highlight the key differences that exist in knowledge management practices and perceptions in different sized SME's and between management and operational staffroles. In general, the results show the majority of employees in SMEs in Thailand consider Knowledge Management to be a beneficial tool with the potential to solve problems at work. However, it appears that the biggest barrier to knowledge capture is a lack of clear guidelines. Furthermore, the biggest barrier to sharing and storing knowledge is lack of time. This paper reports on the results obtained within Thailand. These results are part of a wider study which is currently drawing comparisons between Thailand and The United Kingdom.|Commerce; Competition; Economics; Human resource management; International trade; Knowledge management; Management science; Manufacture; Productivity; Surveys, Association of Southeast Asian Nations; International markets; Knowledge management practices; Manufacturing sector; Research questions; Small and medium enterprise; Systematic literature review; Thailand, Decision making|cited By 1|Department of Design, Manufacturing and Engineering Management, Faculty of Engineering, University of Strathclyde, United Kingdom|English|
Book|Remdisch S,Otto C,Just S,Pötschke I,Klöppner M|0||Gaining regional competitiveness by increasing employer attractiveness in small and medium-sized enterprises: New approach for knowledge transfer between academia and business||2015|32|||Springer International Publishing||2015|9,78332E+12|9,78332E+12||http://dx.doi.org/10.1007/978-3-319-17713-7_8|10.1007/978-3-319-17713-7_8|"Knowledge and innovation are the key factors for sustainable business development. Therefore, new models of cooperation have to be launched that intensify the knowledge flow between business and academia. The Innovation Incubator at Leuphana University of Lüneburg in Germany is an excellent example for such a strategic partnership between university and regional economy. This approach of knowledge transfer is funded by the European Regional Development Fund (ERDF) and focusses on strengthening the competitiveness of regional SMEs. As part of the Innovation Incubator the network for innovation and transfer ""Performance Management in Medium-Sized Businesses"" represents a concrete example of effective long-term cooperation between academia and business. This alliance aims at the constructive exchange of experience and knowledge between regional SMEs and academic experts in human resources and business development. One of the central questions for regional SMEs within this network is how to attract and recruit highly qualified employees. Within research-based working groups academic experts closely cooperate with business representatives in order to increase the employer attractiveness of SMEs. © Springer International Publishing Switzerland 2016. All rights are reserved."||cited By 1|Institute for Performance Management, Leuphana University of Lüneburg, Lüneburg, Germany|English|175-191
Book|De Melo PM,Machado CF|0||HRM evolution in SMEs: Recruitment and selection case||2013||||IGI Global||2013|9,78147E+12|9,78147E+12||http://dx.doi.org/10.4018/978-1-4666-4731-2.ch018|10.4018/978-1-4666-4731-2.ch018|The enormous business competitiveness at a global scale and the constant search for sources of competitive advantage have led several scholars and practitioners to implement their studies to pay attention to the potential of HRM in the success of companies. Portugal, like others European countries, is not set apart from the question of HRM. However, it is rare and recent to find empirical literature on practice of HRM in Portugal, and even more scarce to find literature that focuses on SMEs. This study clarifies the situation of SMEs in the Portuguese context, serving as a basis for discussion on HRM in SMEs in an international context. This chapter looks to understand the role of recruitment and selection on Human Resource Management (HRM) at Small and Medium Enterprises (SMEs) in Portugal, as well as contribute to a better knowledge of this area, still little studied. More particularly, it aims to understand the level of implementation of recruitment and selection. Data was collected by questionnaire from 512 small and medium enterprises in Portugal, and from these, 3 hypotheses were formulated and tested using the SPSS program. From this study, the authors conclude that HRM is not yet a reality in SMEs. Recruitment and selection are the HRM practices more commonly used in SMEs, but in an informal way. © 2014 by IGI Global. All rights reserved.||cited By 1|School of Economics and Management, University of Minho, Portugal; School of Management, Polytechnic Institute of Cávado and Ave, Portugal; University of Minho, Portugal|English|377-392
Journal Article|Jevtic B,Dedjanski S,Beslac M,Grozdanic R,Papic Ž|Not yet assigned quartile||The impact of skilled workers in implementing ICT on firm performance|Metalurgia International|2013|18|SPEC.4|152-161|||2013|||1582-2214|||SMEs and their employed workers are the backbone for economic and competence development in Western Balkan countries. But as, SMEs are obviously lacking of productivity, lacking of resources and unlikely to higher capable human resource, in increasing liberalization of the world economy and the impact of ICT on consumer behavior demand SMEs to improve their competitiveness. Information and communication technology (ICT) has been the main focused of Balkan countries to strengthen the ICT skills of small and medium enterprises (SMEs) employees as precondition of faster implementation of new technologies and competition grow. However, scholars in resource- based view acknowledge that sustainable competitive advantage can only be achieved through building a co-specialized ICT competence between the human factors and ICT facilities in the firm. The framework developed in this paper is tested through data collected from the entrepreneurs in SMEs in Balkan countries, SME EU Charter survey, and national surveys on implementation and ICT skills upgrading. The results of desk research and statistical analysis have supported the framework proposed.|Balkan countries; Competence development; Faster implementation; Firm Performance; Ict competences; Ict skills; Information and Communication Technologies; National surveys; New technologies; Performance of the web-based smes competitiveness; Resource-based view; Skilled workers; Small and medium enterprise; Sustainable competitive advantages; Technology factors; World economy, Competition; Information technology; Surveys, Industry|cited By 1|Banka Intesa, Belgrade, Serbia; Megatrend University Belgrade, Serbia; Faculty for BA and Entrepreneurship, Belgrade, Serbia; Technical Faulty Cacak, Serbia|English|
Conference Paper|Numan Durakbasa M,Mukhametzianova L,Bas G,Güclü E|0||The role of MMS in an integrated management for improving production efficiency and quality||2013|2||1385-1393|International Business Information Management Association, IBIMA|Vienna|2013|9,78098E+12|||||Over the last years, many organizations including small and medium-sized enterprises (SMEs) are increasingly implementing integrated management systems (IMS) in order to development and improvement of competitiveness. IMS is a complex unit of interconnected requirements of two or more management system standards, which are incorporated into the overall corporate management system. Implementation of the integrated management system is more effective than separate implementation of management systems, such as: quality management system, environmental management system, safety and worker's health management system. With the advent of the international standard ISO 50001 - Energy Management System, which has a similar structure as ISO standards 9001, 14001 and 22000, the opportunity to integrate energy management system with other systems, has appeared. Interaction between man and machine, or the man-machine system (MMS) is an important component of production process. It is typical to consider MMS in terms of ergonomics or safety, although results of man-machine interaction may also affect the product's quality and environment. This article describes the role of MMS in an integrated management system in the small and medium-sized enterprises. © 2013 International Business Information Management Association.|Economics; Energy management systems; Environmental management systems; Ergonomics; Image quality; Information management; Integrated control; Interactive computer systems; Machinery; Man machine systems; Quality management; Sustainable development, Health management systems; Integrated management; Integrated management systems; International standards; Man-machine interaction; Production efficiency; Quality management systems; Small and medium-sized enterprise, Human resource management|cited By 1; Conference of 21st International Business Information Management Association Conference, IBIMA 2013 ; Conference Date: 27 June 2013 Through 28 June 2013; Conference Code:106714|Vienna University of Technology, Austria|English|
Journal Article|Siregar I,Ma'rifataini L,Ta'rif,Suprapto,An-Nahidl NA,Habibah N,Sopandi E,Salman I,Munawiroh|Q2||The role of motivation of unified theory acceptance, use of technology model and innovation diffusion theory on e-learning intention of SMEs employee|International Journal of Data and Network Science|2022|6|4|1055-1064|Growing Science||2022|||2561-8148|http://dx.doi.org/10.5267/j.ijdns.2022.8.003|10.5267/j.ijdns.2022.8.003|In the digital era and the era of the industrial revolution 4.0, the quality of human resources needs to be improved in order to have competencies that are in accordance with the needs of the organization. Therefore, an effective and efficient method is needed to improve employee competence by using elearning technology. This study analyzes the Diffusion of Innovation Theory through the Unified Theory of Acceptance and Use of Technology (UTAUT) model. The study uses quantitative data obtained by surveying 400 SME employees in Indonesia using an e-learning system. Dissemination of data is by using online questionnaires through social media. Data analysis uses structural equation modeling (SEM) modeling. The results of data analysis show that the theory of diffusion of innovations mediated by intrinsic and extrinsic motivation in the UTAUT model had a significant effect. The aspects that make up the theory of diffusion of innovation significantly and directly affect the intention of SMEs employees to use the e-learning system. The findings show that the diffusion of innovation theory has various indicators for the application of learning systems and further elearning development so that they can have a real and significant impact on improving organizational performance and competitiveness. © 2022 by the authors; licensee Growing Science, Canada.||cited By 0|National Research and Innovation Agency Republic of Indonesia, Indonesia|English|
Conference Paper|Ocasal DL,Lugo AL,Melo LA,Miranda PP|0|E. S|Innovative thinking in the leaders and competitiveness of SMEs in the Industrial sector in Colombia||2022|210||333-338|Elsevier B.V.||2022|||1877-0509|http://dx.doi.org/10.1016/j.procs.2022.10.160|10.1016/j.procs.2022.10.160|At a global level, it is thought that organizations, which carry out innovation, are more competitive in the market and achieve a greater competitive advantage; The objective of this scientific article is to identify if innovative thinking in managers influences the competitiveness of SMEs. Currently, most research on innovation has not explored its relationship with the innovative thinking of leaders; the literature is unclear as to what innovative companies do differently to achieve superior performance. This study advances in the investigation of how the mentality of leaders influences innovation processes, for this purpose the difficulties faced by SMEs in the industrial sector in Colombia were analyzed, finding that at the country level it is not clear that there is a culture of innovative thinking in their leaders. The research was carried out under the descriptive approach, supported by qualitative and quantitative studies of a sample of Colombian SMEs. The research is associated with the analysis of data on competitiveness, innovation, and technological development in SMEs; in Colombia, the highest concentration of researchers is in the education sector with 95.7% and only 2.5% is in companies, 1.7% is outside the country. In terms of limitations, we found no evidence from studies that promote innovative thinking techniques. The practical implications of this research are to demonstrate the importance for SMEs of strengthening research in their managers and teams to generate innovation; the originality or value of this document is in promoting a model for the development of innovative thinking in leaders. © 2022 Elsevier B.V.. All rights reserved.|Competition, Colombia; Competitive advantage; Competitiveness; Industrial sector; Innovation; Innovative companies; Innovative thinking; Scientific articles; SME; Strategic management, Human resource management|cited By 0; Conference of 13th International Conference on Emerging Ubiquitous Systems and Pervasive Networks, EUSPN / The 12th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, ICTH 2022 / Affiliated Workshops ; Conference Date: 26 October 2022 Through 28 October 2022; Conference Code:148658|Universidad de la Costa CUC, Barranquilla, 08003, Colombia|English|
Journal Article|Rodríguez-Ríos CY,Narváez AC,Jiménez SC|Q4||Application of the CERT Values Measurement Model for Organizational Culture in the Management and Quality Company|Communications in Computer and Information Science|2021|1431 CCIS||399-408|Springer Science and Business Media Deutschland GmbH||2021|||1865-0929|http://dx.doi.org/10.1007/978-3-030-86702-7_34|10.1007/978-3-030-86702-7_34|At present, it has been shown that very few SMEs have knowledge of the Business Process Management BPM system, which offers a series of strategies and benefits oriented towards processes, using technology systems in terms of information management, evaluating the organizational culture and covering all the operational and business processes of the organization, in order to increase productivity and competitiveness, guaranteeing continuous improvement of internal processes following their life cycle, where they are documented, analyzed, improved, are implemented, and are monitored and controlled. In this study, the BPM culture of an information technology SME, called Management and Quality, was evaluated based on the study carried out by Jan Vom Brocke, in which 4 values are established, which are: customer orientation, excellence, responsibility, and teamwork, called CERT values, the survey adapted to the context of the company and Colombia was applied; As a result, opportunities for improvement in excellence were found represented by the dimensions of continuous improvement and innovation, and in the formal structures, dimension of teamwork, recommendations were made for these findings. © 2021, Springer Nature Switzerland AG.|Administrative data processing; Human resource management; Information management; Life cycle; Quality control, Business process management; Business process management culture; Business process management systems; CERT value; Continuous improvements; Management culture; Measurement model; Organizational cultures; Technology system; Value measurements, Competition|cited By 0; Conference of 8th Workshop on Engineering Applications, WEA 2021 ; Conference Date: 6 October 2021 Through 8 October 2021; Conference Code:266199|Colombian School of Engineering Julio Garavito, Bogotá, Colombia|English|
Journal Article|Suci RP|Not yet assigned quartile||SMEs Performance optimization Malang Raya based Leadership|Review of International Geographical Education Online|2021|11|4|1398-1405|Eskisehir Osmangazi University||2021|||2146-0353|http://dx.doi.org/10.33403/rigeo.8006854|10.33403/rigeo.8006854|This study examines the influence of leadership on performance quality, SME employees in Malang Raya. The research population is an employee of MSMEs in Malang Raya. Significant direct effects are found in variable relationships, i.e., leadership L (X) to the quality of work-life (M1) and employee engagement (M2); and Leadership (X), work quality (M1), and employee engagement (M2) on the Human Resources (Y) working ability. Considering that the sign of the relationship coefficient is positive. For example, the more leadership level (X), the higher the quality of employee work (M1). Humans as employees, are factors in competitiveness. Human resources have a role in improving SME's development, so it is necessary to consider the leadership of the Organization to increase the work of SME employees, employees as a buffer production process so it is important to optimize SME's work. © 2021 RIGEO. All Rights Reserved.||cited By 0|Management Dept, Economic Faculty, Widyagama Of University|English|
Journal Article|Duangekanong D|Q3||Use of strategic human resources management (SHRM) in Thailand's High-tech firms: Adoption and firm non-financial outcomes|Humanities, Arts and Social Sciences Studies|2021|21|1|1-10|Silpakorn University||2021|||2630-0079|http://dx.doi.org/10.14456/hasss.2021.1|10.14456/hasss.2021.1|High-technology firms are a growing segment of Thailand's economy, and are critical to the innovation economy, but show few signs of adopting strategic human resources management (SHRM) practices that could improve their competitiveness. This research investigated the use of SHRM in Thai high technology firms. It used a mixed methods approach to examine the effect of strategic HRM practices including recruitment and selection, training and development, performance appraisal, compensation systems, and flexible work practices on firm outcomes of product quality, corporate reputation and innovation. It was a quantitative-led approach, incorporating HR interviews and a survey. The quantitative findings were used to evaluate the hypotheses, while the quantitative findings were used to evaluate barriers to SHRM implementation in medium and small firms. Analysis of the quantitative survey of high-tech firms (n = 312) showed that SHRM practices had significant effects on product quality (except for flexible work), reputation (except for recruitment and hiring) and innovation (except for recruitment and hiring and training and development). The strongest effect was on company reputation. ANOVA showed that large and medium firms were significantly more likely to use SHRM than small firms. Qualitative interviews with small firms (n = 10) identified several barriers to SHRM implementation, including lack of time, cost, and expertise as well as preference for traditional hiring practices. The implication of this study is that SHRM does have a benefit to technology firms in Thailand, but that small firms may not be recognizing this benefit. The major policy implication is that the Thai government needs to address knowledge and resource barriers for SMEs in the high-tech industry to enable them to use SHRM effectively. © 2021 Sriwijaya University. All rights reserved.||cited By 0|Assumption University, Thailand|English|
Journal Article|Korcsmáros E,Machová R|Q2||Challenges of burnout prevention in slovac smes– focus on optimal employment|Acta Polytechnica Hungarica|2021|18|2|87-104|Budapest Tech Polytechnical Institution||2021|||1785-8860|http://dx.doi.org/10.12700/APH.18.2.2021.2.5|10.12700/APH.18.2.2021.2.5|Labor shortages have become widespread in Slovakia in recent years. Numerous studies deal with the difficulties of finding a skilled, motivated workforce and the difficulties of retantion. The aim of this study is to introduce the tools used by managers in HR with special regard in examining the efforts companies make to prevent burnout. The study provides a statistical analysis of the results of primary data collection on a sample of 431 SMEs the current employment policy issues in Slovakia, with a particular focus on recruitment, motivation and retention. SMEs are the engine of the European Economy, which is why it is very important that this machinery works well, is able to produce continuously and thus contribute to the economic development of the country. One of the prerequisites for this is that the human resources available to them are properly managed. Our goal is to showcase the opportunities and tools that a manager or HR department uses when it comes to employing a company, and to try to find a solution for the problem of retaining an effective workforce. Based on the obtained data related to burnout syndrome, we can conclude that 76.38% of the surveyed companies address the issue of employee burnout. 86% of the employees are at risk of burnout, since burnout is the diesease of our modern civilization. 68% of the companies struggle with more than a 15% workforce fluctuation, which can be declared a loss for the company. © 2021, Budapest Tech Polytechnical Institution. All rights reserved.||cited By 0|J. Selye University, Faculty of Econommics, Bratislavska str. 3322945 01, Slovakia|English|
Journal Article|Novia C,Santoso I,Soemarno S,Astuti R|Q3||The strategy for improving the competitiveness of SMEs apple chips in Malang Raya by using the concept of the house model|Food Research|2020|4|5|1794-1801|Rynnye Lyan Resources||2020|||2550-2166|http://dx.doi.org/10.26656/fr.2017.4(5).207|10.26656/fr.2017.4(5).207|Apple chips SMEs in Malang Raya play an important role in national economic growth. The present study was aimed to analyze the strengths, weaknesses, opportunities with threats, and determine the strategy of increasing the competitiveness of apple chips SMEs in Malang Raya. The research location was in Malang Raya area consists of Malang Regency, Malang City, and Batu City. Data collection was obtained from thirty-one respondents who were owners of apple chips SMEs in Malang Raya. The data analysis technique used in this study was a SWOT analysis to analyze the strengths, weaknesses, opportunities and threats on the house model concept to determine the strategy to increase the competitiveness of apple chip SMEs in Malang Raya. The SWOT analysis showed that the business position of the apple chip SMEs are in the strength- opportunity strategy quadrant which includes, improving the quality of the apple chips, adding variations of apple chips products, extending the validity period of the home industry production permit and halal certificate if it has expired, as well as increasing the number of apple chips production. The results of the main performance index weigh for the pillar positions of the house model on the strategy of increasing competitiveness for product variables at 0.726, human resource improvement variables at 0.198, and marketing institutional variables at 0.076. © 2020 The Authors. Published by Rynnye Lyan Resources.|adult; apple; article; clinical article; data analysis; female; human; human experiment; male; marketing; nonhuman; validity|cited By 0|Departement of Informatics Engineering, Faculty of Engineering, Nurul Jadid University, Probolinggo, East Java, Indonesia; Department of Agro Industrial Technology, Faculty of Agricultural Technology, Brawijaya University, Malang, East Java, Indonesia; Department of Soil Science, Faculty of Agricultural, Brawijaya University, Malang, East Java, Indonesia|English|
Journal Article|Khoryanton A,Pratikto,Suparman S,Santoso PB|Q4||Development of business model in SMEs of ship component to improve competitiveness|Quality - Access to Success|2020|21|176|27-32|SRAC - Romanian Society for Quality||2020|||1582-2559|||The purpose of this study is to provide an overview of SMEs of Ship Component's current business model, describing Strengths, Weaknesses, Opportunities, and Threats based on the canvas business model and providing input on corrective action for the company. The research method is done with the business model approach of canvas, benchmarking analysis and SWOT analysis to form an alternative strategy. The result of this research is the improvement of the business model on nine elements of the Business Model Canvas and there are seven main improvement programs for the company as follows: Establishing new customer segmentation, cooperation with Indonesia Ship Components Industry Association, business partner and supplier of raw materials, forming subsection of research and development as well as recruiting potential human resources. © 2020, SRAC - Romanian Society for Quality. All rights reserved.||cited By 0|Brawijaya University, Malang, Indonesia; Department of Mechanical Engineering, Politeknik Negeri Semarang, Indonesia; Mechanical Engineering Department, Faculty of Engineering, Universitas Brawijaya, Malang, Indonesia|English|
Journal Article|Panmaung K,Pichyangura R,Vadhanasindhu P|Not yet assigned quartile||Success factors of technology transfer process of entrepreneurial food smes in Thailand|Academy of Entrepreneurship Journal|2020|26|1|1-9|Allied Business Academies||2020|||1087-9595|||Technology transfer is one of the tools to enhance the productivity and efficiency of businesses, thus increases competitiveness. SMEs regularly rely on external sources of technical and technological assistance. This study aims to explore factors and indicators that affect the success of technology transfer projects in Thai's SMEs. From literatures, the External factor, the Strategic and Management factor, the R&D factor, the Technological and Manufacturing factor, the Marketing factor, and the Human Resource factor were outlined. Questionnaires were distributed, and results showed positive consensus on all factors. The results also revealed new factors that were never been mentioned in previous literatures such as; an ability to find the right solution for marketing needs, an ability to understand scientific and technical elements in actual patents, and an ability to translate patent's technical data to actual production. An exploratory factor analysis clustered 8 groups of significant factors. This study provided better understanding of innovative entrepreneurial SMEs and contributed to the development of technology transfer process. © 2020 Allied Business Academies.||cited By 0|Chulalongkorn University, Thailand|English|
Conference Paper||0||2nd International Conference on Tourism Research, ICTR 2019||2019||||Academic Conferences and Publishing International Limited||2019|9,78191E+12||2516-3612|||The proceedings contain 51 papers. The special focus in this conference is on Tourism Research. The topics include: Profile of human capital in tourism case study of barcelos, portugal; competitiveness and business performance in the portuguese hotel industry; intellectual capital and value creation: Evidence from the portuguese tourism industry; higher education in tourism: The portuguese and finnish systems; developing polo tourism as a niche market in the western cape province, south africa; guests’ satisfaction: Application of the importance- performance analysis; meeting guests’ expectations and hotel classification systems; landscape conservation: The strategic social marketing perspective; secondary vocational education in south africa: Can we learn from portugal?; theroute platform: Customized tourist routes in the north region of portugal; exploring employee engagement across generations in hospitality: A cross-sectional study of european countries; the influence of emotions and country stereotypes on destination image and word of mouth; challenges of teaching sales skills in finnish and latvian higher tourism education; south africa’s post-apartheid gay village: A victim of its own success?; human resource policies in travel companies indexed on the warsaw stock exchange; where’s wally? The role of heritage in cultural tourism: The case of travel selfies; business model of the hiking route via transalpina; challenges facing the siem reap tuk-tuk workforce in a changing tourism environment; accessible tourism supply services in spain; perspectives for development of business tourism in porto; knowledge-based networking technologies among wine and gastro smes in balaton region; motivational and attraction factors of tourists in the central region of portugal.||cited By 0; Conference of 2nd International Conference on Tourism Research, ICTR 2019 ; Conference Date: 14 March 2019 Through 15 March 2019; Conference Code:267739||English|
Journal Article|Van Tien N,Hiep PM,Dat NM|Not yet assigned quartile||The determinants affecting the competitive capability: A case of small and medium enterprises in Ho Chi Minh City|Academy of Entrepreneurship Journal|2019|25|3||Allied Business Academies||2019|||1087-9595|||Small and medium enterprises (SMEs) have a very important position in country's economic development. In the current trend of integration and globalization, all countries pay attention to supporting small and medium enterprises to mobilize maximum resources and to improve the competitiveness of products. However, SMEs are facing many problems such as human resources, Loans, technology capacity... This reality requires each SME to enhance its competitive capability in order to compete not only domestic but also foreign enterprises. Therefore, this study goal is to explore the determinants affecting the competitive capability of small and medium enterprises in Ho Chi Minh City (HCMC). This study surveyed 400 managers related to SMEs and answered 23 questions but 395 samples processed. The data collected from November 2018 to March 2019 in HCMC. Simple random sampling technique. Cronbach's alpha and the exploratory factor analysis (EFA) analyzed and used for Structural Equation Modelling (SEM) technique. Finally, the findings of the study have five factors affecting the competitive capability of SMEs with significance level 0.01. © 2019, Allied Academies.||cited By 0|Banking University Ho Chi Minh City (BUH), Viet Nam; Tra Vinh University (TVU), Viet Nam; Ho Chi Minh City University of Law (HCMCUL), Viet Nam|English|
Conference Paper|Masár M,Brezina D|0||Education of project managers in Slovakia in the field of project risk management in the transport sector||2019|2019-October||585-589|Kaunas University of Technology||2019|||1822-296X|||The issue of education in enterprises in Slovakia is an actual topic. This trend is based on need, which is perceived by managers and owners of SMEs. Many companies in Slovakia, which educate their employees to gain better business competitiveness and gain efficiency in production processes. Results of education in SMEs in the transport sector show, that education is important for employees. Managers and owners perceived more benefits if they educate their employees in the world. The main aim of this article is to assess the current state of project managers' education in the field of transport based on realized empirical research in 2018-2019. Based on the results of this contribution the average level of awareness of quantitative risk management is low, the average level of awareness of qualitative risk management is medium, the average level of project risk management skills is medium, the average level of project risk management training is low and the average level of complexity of learning and using of Risk Management Tools is medium. It is possible to say, that there is some space to create new fields of study, which will be taking part in risk management. © 2019 Kaunas University of Technology. All rights reserved.|Competition; Education; Human resource management; Managers; Personnel training, Empirical research; Gain efficiency; Production process; Project managers; Project risk management; Quantitative risk; Transport; Transport sectors, Risk management|cited By 0; Conference of 23rd International Scientific Conference on Transport Means 2019 ; Conference Date: 2 October 2019 Through 4 October 2019; Conference Code:152673|University of Žilina, Faculty of Security engineering, Univerzitná 8215/1, Žilina, 010 26, Slovakia|English|
